No,Compte,Intitulé / libellé compte,Classe,,,
521,346000,AUTRES COMPTES DES ASSURANCES ET ORGANISMES SOCIAUX,4,,,
522,346100,comptes divers des assurances et organismes sociaux,4,,,
523,347000,COMPTES TRANSITOIRES DES ASSURANCES ET ORGANISMES SOCIAUX,4,,,
524,347100,comptes transitoires des assurances et organismes sociaux (Groupes),4,,,
525,347200,comptes transitoires des assurances et organismes sociaux (hors groupes),4,,,
526,349000,PROVISIONS POUR DEPRECIATION DES COMPTES DES ASSURANCES ET ORGANISMES SOCIAUX,4,,,
527,349100,provisions pour dépréciation des comptes des assurances et organismes sociaux,4,,,
528,350000,GROUPE ET COMPTES ASSIMILES,4,,,
529,351000,GROUPE,4,,,
530,351100,comptes de liaison avec les filiales,4,,,
531,351200,comptes de liaison avec les sociétés liées,4,,,
532,351800,autres comptes de liaison avec le groupe,4,,,
533,352000,COMPTES RATTACHES DU GROUPE,4,,,
534,352100,comptes rattachés du groupe (Groupes),4,,,
535,352200,comptes rattachés du groupe (hors groupes),4,,,
536,353000,COMPTES DE REGULARISATION DU GROUPE,4,,,
537,353100,comptes de régularisation du groupe (Groupes),4,,,
538,353200,comptes de régularisation du groupe (hors groupes),4,,,
539,354000,GROUPE CENSE ETRE REGLE EN MONNAIES ETRANGERES,4,,,
540,354100,groupe en monnaies étrangères (Groupes),4,,,
541,354200,groupe en monnaies étrangères (hors groupes),4,,,
542,355000,AUTRES COMPTES DU GROUPE,4,,,
543,355100,comptes divers du groupe,4,,,
544,356000,COMPTES TRANSITOIRES DU GROUPE,4,,,
545,356100,comptes transitoires du groupe (Groupes),4,,,
546,356200,comptes transitoires du groupe (hors groupes),4,,,
547,359000,PROVISIONS POUR DEPRECIATION DES COMPTES DU GROUPE,4,,,
548,359100,provisions pour dépréciation des comptes du groupe,4,,,
549,360000,COMPTES DIVERS ET COMPTES ASSIMILES,4,,,
550,361000,COMPTES DE TRESORERIE ET DE VALEURS,4,,,
551,361100,comptes de trésorerie,4,,,
552,361200,comptes de valeurs,4,,,
553,362000,COMPTES DE REGULARISATION DES COMPTES DIVERS,4,,,
554,362100,comptes de régularisation des comptes divers (Groupes),4,,,
555,362200,comptes de régularisation des comptes divers (hors groupes),4,,,
556,363000,COMPTES D'ATTENTE,4,,,
557,363100,comptes d'attente (Groupes),4,,,
558,363200,comptes d'attente (hors groupes),4,,,
559,364000,COMPTES TRANSITOIRES DES COMPTES DIVERS,4,,,
560,364100,comptes transitoires des comptes divers (Groupes),4,,,
561,364200,comptes transitoires des comptes divers (hors groupes),4,,,
562,365000,COMPTES CENSES ETRE REGLES EN MONNAIES ETRANGERES,4,,,
563,365100,comptes divers en monnaies étrangères (Groupes),4,,,
564,365200,comptes divers en monnaies étrangères (hors groupes),4,,,
565,366000,AUTRES COMPTES DIVERS,4,,,
566,366100,comptes divers,4,,,
567,367000,COMPTES DE LIQUIDATION,4,,,
568,367100,comptes de liquidation (Groupes),4,,,
569,367200,comptes de liquidation (hors groupes),4,,,
570,369000,PROVISIONS POUR DEPRECIATION DES COMPTES DIVERS,4,,,
571,369100,provisions pour dépréciation des comptes divers,4,,,
572,370000,COMPTES DE DETTES PARTICIPATIVES,4,,,
573,371000,COMPTES DE DETTES PARTICIPATIVES (Groupes),4,,,
574,371100,comptes de dettes participatives (Groupes),4,,,
575,371200,comptes de dettes participatives (hors groupes),4,,,
576,372000,COMPTES DE DETTES PARTICIPATIVES (hors groupes),4,,,
577,372100,comptes de dettes participatives (hors groupes),4,,,
578,380000,COMPTES DE REGULARISATION,4,,,
579,381000,COMPTES DE REGULARISATION DES CHARGES,4,,,
580,381100,charges constatées d'avance,4,,,
581,381200,intérêts courus,4,,,
582,381300,loyers à payer,4,,,
583,381400,autres charges à payer,4,,,
584,382000,COMPTES DE REGULARISATION DES PRODUITS,4,,,
585,382100,produits constatés d'avance,4,,,
586,382200,intérêts acquis,4,,,
587,382300,loyers à recevoir,4,,,
588,382400,autres produits à recevoir,4,,,
589,383000,DIFFERES ACTIFS,4,,,
590,383100,différés actifs (Groupes),4,,,
591,383200,différés actifs (hors groupes),4,,,
592,384000,DIFFERES PASSIFS,4,,,
593,384100,différés passifs (Groupes),4,,,
594,384200,différés passifs (hors groupes),4,,,
595,385000,PRIMES D'EMISSION DES TITRES EMIS,4,,,
596,385100,primes d'émission des titres émis,4,,,
597,390000,COMPTES DE GRAND LIVRE D'ATTENTE,4,,,
598,391000,comptes de grand livre d'attente (Groupes),4,,,
599,391200,comptes de grand livre d'attente (hors groupes),4,,,
600,399000,COMPTES TRANSITOIRES,4,,,
601,399100,comptes transitoires (Groupes),4,,,
602,399200,comptes transitoires (hors groupes),4,,,
603,400000,ACHATS,6,,,
604,401000,ACHATS DE MARCHANDISES,6,,,
605,401100,achats de marchandises (Groupes),6,,,
606,401200,achats de marchandises (hors groupes),6,,,
607,402000,ACHATS DE MATIERES PREMIERES,6,,,
608,402100,achats de matières premières (Groupes),6,,,
609,402200,achats de matières premières (hors groupes),6,,,
610,403000,ACHATS D'AUTRES APPROVISIONNEMENTS,6,,,
611,403100,achats d'autres approvisionnements (Groupes),6,,,
612,403200,achats d'autres approvisionnements (hors groupes),6,,,
613,404000,ACHATS DE FOURNITURES NON STOCKABLES,6,,,
614,404100,achats de fournitures non stockables (Groupes),6,,,
615,404200,achats de fournitures non stockables (hors groupes),6,,,
616,405000,ACHATS DE TRAVAUX,4,6,,
617,405100,achats de travaux,4,6,,
618,405200,achats de travaux,4,6,,
619,406000,ACHATS D'EMBALLAGES,6,,,
620,406100,achats d'emballages (Groupes),6,,,
621,406200,achats d'emballages (hors groupes),6,,,
622,407000,ACHATS D'ENERGIE,6,,,
623,407100,achats d'énergie (Groupes),6,,,
624,407200,achats d'énergie (hors groupes),6,,,
625,408000,ACHATS DE TRANSPOTS,6,,,
626,408100,achats de transports (Groupes),6,,,
627,408200,achats de transports (hors groupes),6,,,
628,409000,ACHATS NON DEDUCTIBLES,6,,,
629,409100,achats non déductibles (Groupes),6,,,
630,409200,achats non déductibles (hors groupes),6,,,
631,410000,CHARGES ACCESSOIRES D'ACHATS,6,,,
632,411000,RABAIS,4,6,,
633,411100,rabais,4,6,,
634,411200,rabais,4,6,,
635,412000,VARIAIONS DES STOCKS DE MARCHANDISES,6,,,
636,412100,variations des stocks de marchandises (Groupes),6,,,
637,412200,variations des stocks de marchandises (hors groupes),6,,,
638,413000,VARIAIONS DES STOCKS DE MATIERES PREMIERES ET AUTRES APPROVISIONNEMENTS,6,,,
639,413100,variations des stocks de matières premières et autres approvisionnements (Groupes),6,,,
640,413200,variations des stocks de matières premières et autres approvisionnements (hors groupes),6,,,
641,414000,VARIAIONS DES STOCKS DE FOURNITURES,6,,,
642,414100,variations des stocks de fournitures (Groupes),6,,,
643,414200,variations des stocks de fournitures (hors groupes),6,,,
644,415000,VARIAIONS DES STOCKS EN COURS,6,,,
645,415100,variations des stocks en cours (Groupes),6,,,
646,415200,variations des stocks en cours (hors groupes),6,,,
647,416000,VARIAIONS DES STOCKS DE PRODUITS,6,,,
648,416100,variations des stocks de produits (Groupes),6,,,
649,416200,variations des stocks de produits (hors groupes),4,,,
650,417000,CHARGES DE PERSONNEL,4,,,
651,418000,CHARGES SOCIALES,4,,,
652,419000,AUTRES CHARGES DE GESTION COURANTE,4,,,
653,420000,IMPOTS,4,6,,
654,421000,IMPOTS,4,6,,
655,421100,impôts,4,6,,
656,421200,impôts,4,6,,
657,422000,REPRISES DE SUBVENTIONS D'INVESTISSEMENT,4,,,
658,422100,reprises de subventions d'investissement (Groupes),4,,,
659,422200,reprises de subventions d'investissement (hors groupes),4,,,
660,423000,REPRISES DE SUBVENTIONS D'EQUILIBRE,4,,,
661,423100,reprises de subventions d'équilibre (Groupes),4,,,
662,423200,reprises de subventions d'équilibre (hors groupes),4,,,
663,424000,REPRISES DE PRODUITS NETS,4,,,
664,424100,reprises de produits nets (Groupes),4,,,
665,424200,reprises de produits nets (hors groupes),4,,,
666,425000,AUTRES PRODUITS DE GESTION COURANTE,4,,,
667,426000,TRANSFERTS DE CHARGES DE GESTION COURANTE,4,,,
668,427000,DOTATIONS AUX AMORTISSEMENTS,4,,,
669,428000,DOTATIONS AUX PROVISIONS,4,,,
670,429000,DOTATIONS AUX AMORTISSEMENTS ET PROVISIONS,4,,,
671,430000,CHARGES D'ENTRETIEN ET DE REPARATIONS,4,,,
672,431000,CHARGES D'ENTRETIEN ET DE REPARATIONS DES IMMOBILISATIONS,4,,,
673,431100,charges d'entretien et de réparations des immobilisations (Groupes),4,,,
674,431200,charges d'entretien et de réparations des immobilisations (hors groupes),4,,,
675,432000,CHARGES D'ENTRETIEN ET DE REPARATIONS DES AUTRES BIENS,4,,,
676,432100,charges d'entretien et de réparations des autres biens (Groupes),4,,,
677,432200,charges d'entretien et de réparations des autres biens (hors groupes),4,,,
678,433000,PRIMES D'ASSURANCES,4,,,
679,434000,LOERS,4,,,
680,435000,HONORAIRES,4,,,
681,436000,JETONS DE PRESENCE ET REMUNERATIONS DES ADMINISTRATEURS,4,,,
682,437000,CHARGES DE PUBLICITE,4,6,,
683,438000,TRANSPORTS,4,,,
684,439000,AUTRES CHARGES EXTERNES,4,,,
685,440000,CHARGES DE RECHERCHES,4,,,
686,441000,CHARGES DE RECHERCHES ET DE DEVELOPPEMENT,4,,,
687,441100,charges de recherches et de développement (Groupes),4,,,
688,441200,charges de recherches et de développement (hors groupes),6,,,
689,442000,CHARGES DE BREVETS ET LICENCES,4,,,
690,442100,charges de brevets et licences (Groupes),4,,,
691,442200,charges de brevets et licences (hors groupes),4,,,
692,443000,AUTRES CHARGES DE RECHERCHES,4,,,
693,443100,autres charges de recherches (Groupes),4,,,
694,443200,autres charges de recherches (hors groupes),4,,,
695,444000,REDUCTIONS COMMERCIALES ACCORDEES,4,,,
696,445000,PERSONNEL DETACHE OU PRETE,4,,,
697,446000,CHARGES TRANSFEREES AU PATRIMOINE,4,,,
698,447000,DOTATIONS AUX AMORTISSEMENTS ET PROVISIONS SUR CHARGES,4,,,
699,448000,REPRISES SUR CHARGES PROVISIONNEES,4,,,
700,449000,TRANSFERTS DE CHARGES DIVERSES,4,,,
701,450000,PRODUITS DES ACTIVITES DE L'ENTREPRISE,7,,,
702,451000,VENTES DE MARCHANDISES,4,,,
703,451100,ventes de marchandises (Groupes),4,,,
704,451200,ventes de marchandises (hors groupes),7,,,
705,452000,VENTES DE PRODUITS FINIS,7,,,
706,452100,ventes de produits finis (Groupes),7,,,
707,452200,ventes de produits finis (hors groupes),7,,,
708,453000,VENTES DE PRODUITS INTERMEDIAIRES,7,,,
709,453100,ventes de produits intermédiaires (Groupes),7,,,
710,453200,ventes de produits intermédiaires (hors groupes),7,,,
711,454000,VENTES DE PRODUITS RESIDUELS,7,,,
712,454100,ventes de produits résiduels (Groupes),7,,,
713,454200,ventes de produits résiduels (hors groupes),7,,,
714,455000,PRESTATIONS DE SERVICES,7,,,
715,455100,prestations de services (Groupes),7,,,
716,455200,prestations de services (hors groupes),7,,,
717,456000,TRAVAUX,7,,,
718,456100,travaux (Groupes),7,,,
719,456200,travaux (hors groupes),7,,,
720,457000,AUTRES PRODUITS DES ACTIVITES,7,,,
721,457100,autres produits des activités (Groupes),7,,,
722,457200,autres produits des activités (hors groupes),7,,,
723,458000,PRODUITS DES ACTIVITES ANNEXES,7,,,
724,458100,produits des activités annexes (Groupes),7,,,
725,458200,produits des activités annexes (hors groupes),7,,,
726,459000,REPRISES SUR REDUCTIONS ET REMISES,7,,,
727,460000,TRANSFERTS DE PRODUITS D'ACTIVITES,7,,,
728,461000,SUBVENTIONS D'EXPLOITATION,7,,,
729,462000,SUBVENTIONS D'INVESTISSEMENT,7,,,
730,463000,REPRISES SUR PROVISIONS,7,,,
731,464000,REPRISES SUR AMORTISSEMENTS,7,,,
732,465000,PRODUITS DES CESSIONS D'ACTIFS,7,,,
733,466000,AUTRES PRODUITS D'EXPLOITATION,7,,,
734,467000,PRODUITS FINANCIERS,7,,,
735,468000,PRODUITS EXCEPTIONNELS,7,,,
736,469000,PRODUITS DES CESSIONS,7,,,
737,470000,PRODUITS NETS DES ACTIVITES,7,,,
738,471000,PRODUITS NETS DES ACTIVITES ANNEXES,7,,,
739,472000,PRODUITS NETS DES CESSIONS,7,,,
740,473000,PRODUITS DES SUBVENTIONS,7,,,
741,474000,PRODUITS DES REPRISES,7,,,
742,475000,PRODUITS DES TRANSFERTS,7,,,
743,476000,PRODUITS DES AMORTISSEMENTS,7,,,
744,477000,PRODUITS DES PROVISIONS,7,,,
745,478000,AUTRES PRODUITS,7,,,
746,479000,TRANSFERTS DE PRODUITS,7,,,
747,480000,CHARGES FINANCIERES,8,,,
748,481000,CHARGES D'INTERETS,8,,,
749,482000,CHARGES DE CREDITS-BAIL,8,,,
750,483000,CHARGES DE PERTES DE CHANGE,8,,,
751,484000,CHARGES DE CESSIONS,8,,,
752,485000,CHARGES EXCEPTIONNELLES,8,,,
753,486000,CHARGES DES CESSIONS,8,,,
754,487000,CHARGES DES AMORTISSEMENTS,8,,,
755,488000,CHARGES DES PROVISIONS,8,,,
756,489000,TRANSFERTS DE CHARGES FINANCIERES,8,,,
757,490000,IMPOTS SUR LES BENEFICES,9,,,
758,491000,IMPOTS SUR LES BENEFICES ACTUELS,9,,,
759,492000,IMPOTS SUR LES BENEFICES ANTERIEURS,9,,,
760,493000,IMPOTS MINIMUMS FORFAITAIRES,9,,,
761,494000,DEGREVEMENTS D'IMPOTS,9,,,
762,495000,AUTRES IMPOTS,9,,,
763,496000,TRANSFERTS D'IMPOTS,9,,,
764,497000,PRODUITS DES IMPOTS,9,,,
765,498000,CHARGES DES IMPOTS,9,,,
766,499000,TRANSFERTS DES IMPOTS,9,,,
767,500000,VENTES,7,,,
768,501000,VENTES DE MARCHANDISES,7,,,
769,502000,VENTES DE PRODUITS FINIS,7,,,
770,503000,VENTES DE PRODUITS INTERMEDIAIRES,7,,,
771,504000,VENTES DE PRODUITS RESIDUELS,7,,,
772,505000,PRESTATIONS DE SERVICES,7,,,
773,506000,TRAVAUX,7,,,
774,507000,AUTRES PRODUITS DES ACTIVITES,7,,,
775,508000,PRODUITS DES ACTIVITES ANNEXES,7,,,
776,509000,REPRISES SUR REDUCTIONS ET REMISES,7,,,
777,510000,TRANSFERTS DE PRODUITS D'ACTIVITES,7,,,
778,511000,SUBVENTIONS D'EXPLOITATION,7,,,
779,512000,SUBVENTIONS D'INVESTISSEMENT,7,,,
780,513000,REPRISES SUR PROVISIONS,7,,,
781,514000,REPRISES SUR AMORTISSEMENTS,7,,,
782,515000,PRODUITS DES CESSIONS D'ACTIFS,7,,,
783,516000,AUTRES PRODUITS D'EXPLOITATION,7,,,
784,517000,PRODUITS FINANCIERES,7,,,
785,518000,PRODUITS EXCEPTIONNELS,7,,,
786,519000,PRODUITS DES CESSIONS,7,,,
787,520000,ACHATS CONSOMMES,6,,,
788,521000,ACHATS DE MARCHANDISES,6,,,
789,522000,ACHATS DE MATIERES PREMIERES,6,,,
790,523000,ACHATS D'AUTRES APPROVISIONNEMENTS,6,,,
791,524000,ACHATS DE FOURNITURES NON STOCKABLES,6,,,
792,525000,ACHATS DE TRA,,,,
